5.0  0 5.0 ..I...BBI.K.GHAAKLGHDDKLG..JEEFF.J..
3.5  1 2.5 ..I..LBBI.KLGHAAK.GHDDK.G..JEEFF.J.. L98 
4.5  2 2.5 ..I..LBBI.KLGHAAK.GHDDK.G..JEE.FFJ.. L98 F99 
4.5  2 2.5 ..I.KLBBI.KLGHAAK.GHDD..G..JEEFF.J.. L98 K99 
4.5  2 2.5 ..I..LBBI.KLG.AAK.GHDDK.GH.JEEFF.J.. L98 H99 
5.5  3 2.5 ..I.KLBBI.KLGHAAK.GH..DDG..JEEFF.J.. D98 L98 K99 
5.5  3 2.5 ..I..LBBI.KLGAA.K.GHDDK.GH.JEEFF.J.. L98 A99 H99 
5.5  3 2.5 ..I.KLBBI.KLGHAAK.GH.DD.G..JEEFF.J.. D99 L98 K99 
5.5  3 2.5 ..I..LBBI.KLG.AAK.GHDDK.GH.JEE.FFJ.. L98 F99 H99 
5.5  3 2.5 ..I.KLBBI.KLGHAAK.GHDD..G..JEE.FFJ.. L98 F99 K99 
5.5  3 2.5 ..I..LBBI.KL.HAAK.GHDDK.G..JEEGFFJ.. L98 G99 F99 
5.5  3 2.5 ..I.KLBBI.KLG.AAK.GHDD..GH.JEEFF.J.. L98 K99 H99 
6.0  1 5.0 ..I...BBI.K.GHAAKLGHDDKLG..JEE.FFJ.. F99 
6.0  1 5.0 ..I.K.BBI.K.GHAAKLGHDD.LG..JEEFF.J.. K99 
6.0  1 5.0 ..I...BBI.KLGHAAKLGHDDK.G..JEEFF.J.. L99 
6.0  1 5.0 ..I...BBI.K.G.AAKLGHDDKLGH.JEEFF.J.. H99 
6.5  4 2.5 ..I.KLBBI.KLGHAAK.GH.JDDG..JEEFF.... J99 D98 K99 L98 
6.5  4 2.5 ..I.KLBBI.KLG.AAK.GH..DDGH.JEEFF.J.. D98 L98 K99 H99 
6.5  4 2.5 ..I.KLBBI.KLGHAAK.GH..DDG..JEE.FFJ.. F99 D98 L98 K99 
6.5  4 2.5 ..I.KLBBI.KLGHAAK.GH.DD.G..JEE.FFJ.. L98 F99 D99 K99 
6.5  4 2.5 ..I..LBBI.KLGAA.K.GHDDK.GH.JEE.FFJ.. L98 F99 A99 H99 
6.5  4 2.5 ..I.KLBBI.KLG.AAK.GH.DD.GH.JEEFF.J.. L98 D99 K99 H99 
6.5  4 2.5 ..I.KLBBI.KLGAA.K.GHDD..GH.JEEFF.J.. L98 K99 A99 H99 
6.5  4 2.5 ..I..LBBI.KL..AAK.GHDDK.GH.JEEGFFJ.. L98 H99 G99 F99 
6.5  4 2.5 ..I.KLBBI.KLG.AAK.GHDD..GH.JEE.FFJ.. L98 H99 F99 K99 
6.5  4 2.5 ..I.KLBBI.KL.HAAK.GHDD..G..JEEGFFJ.. L98 G99 F99 K99 
