5.0  0 5.0 JBBCCCJDD..MJAAL.MFFKL.N..KGGN.HH...
6.0  1 5.0 JBBCCCJ..DDMJAAL.MFFKL.N..KGGN.HH... D98 
6.0  1 5.0 JBBCCCJDDL.MJAAL.MFFK..N..KGGN.HH... L99 
6.0  1 5.0 JBBCCCJDD..MJAAL.MFFKL.N..KGGN..HH.. H99 
6.0  1 5.0 JBBCCCJDD..MJAAL.MFFKL....KGGN.HH..N N99 
6.0  1 5.0 JBBCCCJDD..MJAAL.MFFKL.N..KGGN....HH H97 
6.0  1 5.0 JBBCCCJDD..MJAAL.MFFKL.N..KGGN...HH. H98 
6.0  1 5.0 JBBCCCJ.DD.MJAAL.MFFKL.N..KGGN.HH... D99 
6.0  1 5.0 JBBCCCJDD..MJAAL.MFFKL.N..KGGNHH.... H99 
7.0  2 5.0 JBBCCCJ..DDMJAAL.MFFKL.N..KGGNHH.... H99 D98 
7.0  2 5.0 JBBCCCJDDL.MJAAL.MFFK..N..KGGN...HH. H98 L99 
7.0  2 5.0 JBBCCCJDD..MJAAL.MFFKL....KGGNHH...N H99 N99 
7.0  2 5.0 JBBCCCJ..DDMJAAL.MFFKL.N..KGGN...HH. H98 D98 
7.0  2 5.0 JBBCCCJDDL.MJAAL.MFFK..N..KGGNHH.... H99 L99 
7.0  2 5.0 JBBCCCJDD..MJAAL.MFF.L.N..KGGN..K.HH K99 H97 
7.0  2 5.0 JBBCCCJDDL.MJAAL.MFFK.....KGGN.HH..N L99 N99 
7.0  2 5.0 JBBCCCJDD...JAAL.MFFKL.M..KGGN.HH..N M99 N99 
7.0  2 5.0 JBBCCCJ.DD.MJAAL.MFFKL....KGGN.HH..N D99 N99 
7.0  2 5.0 JBBCCCJ.DD.MJAAL.MFFKL.N..KGGN..HH.. H99 D99 
7.0  2 5.0 JBBCCCJ..DDMJAAL.MFFKL....KGGN.HH..N D98 N99 
7.0  2 5.0 JBBCCCJ..DDMJAAL.MFFKL.N..KGGN....HH D98 H97 
7.0  2 5.0 JBBCCCJ.DD.MJAAL.MFFKL.N..KGGNHH.... H99 D99 
7.0  2 5.0 JBBCCCJDD..MJAAL.MFFKL....KGGN...HHN H98 N99 
7.0  2 5.0 JBBCCCJ..DDMJAAL.MFFKL.N..KGGN..HH.. D98 H99 
7.0  2 5.0 JBBCCCJDD..MJAAL.MFFKL....KGGN..HH.N N99 H99 
7.0  2 5.0 JBBCCCJDDL.MJAAL.MFFK..N..KGGN....HH L99 H97 
7.0  2 5.0 JBBCCCJDDL.MJAAL.MFFK..N..KGGN..HH.. H99 L99 
7.0  2 5.0 JBBCCCJ.DD.MJAAL.MFFKL.N..KGGN...HH. H98 D99 
7.0  2 5.0 JBBCCCJDD..MJAAL.MFF.L.N..KGGNHHK... K99 H99 
7.0  2 5.0 JBBCCCJ.DD.MJAAL.MFFKL.N..KGGN....HH D99 H97 
7.0  2 5.0 JBBCCCJDD..MJAAL.MFF.L.N..KGGN..KHH. K99 H98 
8.0  3 5.0 JBBCCCJ..DDMJAAL.MFFKL....KGGN..HH.N H99 D98 N99 
8.0  3 5.0 JBBCCCJ..DD.JAAL.MFFKL.M..KGGN.HH..N D98 M99 N99 
8.0  3 5.0 JBBCCCJ..DDMJAAL.MFF.L.N..KGGNHHK... K99 H99 D98 
8.0  3 5.0 JBBCCCJDD..MJAAL.MFF.L....KGGN..KHHN K99 H98 N99 
8.0  3 5.0 JBBCCCJDD..MJAAL.MFF.L....KGGNHHK..N K99 H99 N99 
8.0  3 5.0 JBBCCCJ...DDJAAL.MFFKL.M..KGGN.HH..N D97 M99 N99 
8.0  3 5.0 JBBCCCJ.DD.MJAAL.MFF.L.N..KGGN..K.HH D99 K99 H97 
8.0  3 5.0 JBBCCCJDDL.MJAAL.MFFK.....KGGNHH...N N99 H99 L99 
8.0  3 5.0 JBBCCCJDDL.MJAAL.MFF...N..KGGNHHK... K99 H99 L99 
8.0  3 5.0 JBBCCCJDDL.MJAAL.MFF...N..KGGN..K.HH L99 K99 H97 
8.0  3 5.0 JBBCCCJDD..MJAAL.M.FFL.N..KGGN..K.HH F99 K99 H97 
8.0  3 5.0 JBBCCCJ..DDMJAAL.MFF.L.N..KGGN..KHH. K99 H98 D98 
8.0  3 5.0 JBBCCCJ.DD.MJAAL.MFFKL....KGGNHH...N H99 D99 N99 
8.0  3 5.0 JBBCCCJDDL..JAAL.MFFK..M..KGGN.HH..N L99 M99 N99 
8.0  3 5.0 JBBCCCJDD...JAAL.MFFKL.M..KGGNHH...N H99 M99 N99 
8.0  3 5.0 JBBCCCJ.DD.MJAAL.MFFKL....KGGN...HHN H98 D99 N99 
8.0  3 5.0 JBBCCCJ..DDMJAAL.MFFKL....KGGNHH...N N99 H99 D98 
8.0  3 5.0 JBBCCCJDD...JAAL.MFFKL.M..KGGN...HHN H98 M99 N99 
8.0  3 5.0 JBBCCCJDD...JAAL.MFFKL.M..KGGN..HH.N H99 M99 N99 
8.0  3 5.0 JBBCCCJDD..MJAAL.M.FFL.N..KGGNHHK... F99 K99 H99 
8.0  3 5.0 JBBCCCJDDL.MJAAL.MFFK.....KGGN..HH.N H99 L99 N99 
8.0  3 5.0 JBBCCCJDDL.MJAAL.MFF...N..KGGN..KHH. K99 H98 L99 
8.0  3 5.0 JBBCCCJ..DDMJAAL.MFF.L.N..KGGN..K.HH D98 K99 H97 
8.0  3 5.0 JBBCCCJ.DD..JAAL.MFFKL.M..KGGN.HH..N D99 M99 N99 
8.0  3 5.0 JBBCCCJDDL.MJAAL.MFFK.....KGGN...HHN N99 H98 L99 
8.0  3 5.0 JBBCCCJ.DD.MJAAL.MFFKL....KGGN..HH.N H99 D99 N99 
8.0  3 5.0 JBBCCCJ..DDMJAAL.MFFKL....KGGN...HHN N99 H98 D98 
8.0  3 5.0 JBBCCCJ.DD.MJAAL.MFF.L.N..KGGNHHK... K99 H99 D99 
8.0  3 5.0 JBBCCCJ.DD.MJAAL.MFF.L.N..KGGN..KHH. D99 K99 H98 
8.0  3 5.0 JBBCCCJDD..MJAAL.M.FFL.N..KGGN..KHH. F99 K99 H98 
9.0  4 5.0 JBBCCCJDDL.MJAAL.MFF......KGGN..KHHN L99 K99 H98 N99 
9.0  4 5.0 .BBCCCJDD..MJAAL.MJFFL.N..KGGN..K.HH J99 F99 K99 H97 
9.0  4 5.0 JBBCCCJ.DD..JAAL.MFFKL.M..KGGN..HH.N D99 H99 M99 N99 
9.0  4 5.0 JBBCCCJDDL.MJAAL.M..FF.N..KGGN..K.HH F98 L99 K99 H97 
9.0  4 5.0 JBBCCCJDDL.MJAAL.M..FF.N..KGGNHHK... F98 K99 H99 L99 
9.0  4 5.0 JBBCCCJDDL.MJAAL.M...FFN..KGGNHHK... F97 K99 H99 L99 
9.0  4 5.0 JBBCCCJDD..MJAAL.M.FFL....KGGN..KHHN F99 K99 H98 N99 
9.0  4 5.0 JBBCCCJ..DDMJAAL.M.FFL.N..KGGNHHK... D98 F99 K99 H99 
9.0  4 5.0 .BBCCCJDD..MJAAL.MJFFL.N..KGGNHHK... J99 F99 K99 H99 
9.0  4 5.0 JBBCCCJDDL.MJAAL.M...FFN..KGGN..K.HH F97 L99 K99 H97 
9.0  4 5.0 JBBCCCJ.DD.MJAAL.M.FFL.N..KGGNHHK... D99 F99 K99 H99 
9.0  4 5.0 .BBCCC.DD..MJAAL.MJFFL.NJ.KGGNHHK... J98 F99 K99 H99 
9.0  4 5.0 JBBCCCJ..DD.JAAL.MFFKL.M..KGGN...HHN H98 D98 M99 N99 
9.0  4 5.0 JBBCCCJDD..MJAAL.M.FFL....KGGNHHK..N F99 K99 H99 N99 
9.0  4 5.0 JBBCCCJ..LDDJAAL.MFFK..M..KGGN.HH..N L99 D97 M99 N99 
9.0  4 5.0 .BBCCC.DD..MJAAL.MJFFL.NJ.KGGN..K.HH J98 F99 K99 H97 
9.0  4 5.0 JBBCCCJDD...JAAL.MFF.L.M..KGGN..KHHN K99 H98 M99 N99 
9.0  4 5.0 JBBCCCJDDL.MJAAL.MFF......KGGNHHK..N N99 K99 H99 L99 
9.0  4 5.0 JBBCCCJ...DDJAAL.MFFKL.M..KGGNHH...N D97 H99 M99 N99 
9.0  4 5.0 JBBCCCJ..DDMJAAL.MFF.L....KGGNHHK..N K99 N99 H99 D98 
9.0  4 5.0 JBBCCCJDDL..JAAL.MFFK..M..KGGNHH...N H99 L99 M99 N99 
9.0  4 5.0 JBBCCCJ.DD.MJAAL.MFF.L....KGGN..KHHN K99 H98 D99 N99 
9.0  4 5.0 JBBCCCJ..DDMJAAL.M.FFL.N..KGGN..KHH. F99 K99 H98 D98 
9.0  4 5.0 JBBCCCJDD...JAAL.MFF.L.M..KGGNHHK..N K99 H99 M99 N99 
9.0  4 5.0 JBBCCCJ.DD.MJAAL.MFF.L....KGGNHHK..N K99 H99 D99 N99 
